ts,cpu,ram,net_in_bps,net_out_bps,disk_read_bps,disk_write_bps,gpu_util,gpu_mem_used_mb,gpu_power_w,gpu_temp_c,gpu_clock_mhz,p1_cpu,p1_rss_mb,p1_threads,p1_age_s,p2_cpu,p2_rss_mb,p2_threads,p2_age_s,p3_cpu,p3_rss_mb,p3_threads,p3_age_s,p4_cpu,p4_rss_mb,p4_threads,p4_age_s,p5_cpu,p5_rss_mb,p5_threads,p5_age_s
2026-02-14 18:41:19,9.0,35.8,238659.77945346804,10058.378046330468,5904.990178840417,342858.4922589217,8.0,1867.1171875,58.842,52.0,1815.0,98.4,39.04296875,4.0,28.68195939064026,14.6,3.17578125,403.0,1771083678.335509,13.5,61.3359375,34.0,9555.369528770449,12.5,583.59765625,43.0,433.9460039138794,5.7,30.7734375,13.0,9552.986225366592
2026-02-14 18:41:20,9.0,35.8,238659.77945346804,10058.378046330468,5904.990178840417,342858.4922589217,8.0,1867.1171875,58.842,52.0,1815.0,98.4,39.04296875,4.0,28.68195939064026,14.6,3.17578125,403.0,1771083678.335509,13.5,61.3359375,34.0,9555.369528770449,12.5,583.59765625,43.0,433.9460039138794,5.7,30.7734375,13.0,9552.986225366592
2026-02-14 18:41:21,5.6,35.7,158816.89571131117,6481.88796855238,0.0,309592.5225038635,10.0,1866.53125,59.466,52.0,1815.0,100.4,39.04296875,6.0,30.06957769393921,2.3,3.17578125,403.0,1771083679.6972537,2.3,61.35546875,34.0,9556.73845219612,2.3,583.453125,43.0,435.3174211978912,2.3,30.80859375,14.0,9554.35579776764
2026-02-14 18:41:22,5.1,35.7,145373.80156869566,9295.925503282122,11809.292350606676,344683.7204833323,14.0,1849.79296875,59.577,51.0,1815.0,98.6,39.046875,6.0,31.477126598358154,20.0,266.66796875,176.0,8709.325709819794,15.7,584.58203125,43.0,436.710018157959,3.4,30.7734375,14.0,9555.752502441406,2.3,3.17578125,403.0,1771083681.0873542
2026-02-14 18:41:23,8.1,35.7,142325.7972422419,12625.00809355248,46360.31436202473,359292.43630569166,9.0,1827.44921875,58.557,51.0,1815.0,99.0,39.05078125,6.0,32.880903244018555,31.8,586.265625,43.0,438.133615732193,30.0,266.44140625,176.0,8710.731313705444,4.4,439.89453125,91.0,8710.202131032944,3.3,3.17578125,403.0,1771083682.499961
2026-02-14 18:41:24,8.1,35.7,142325.7972422419,12625.00809355248,46360.31436202473,359292.43630569166,9.0,1827.44921875,58.557,51.0,1815.0,99.0,39.05078125,6.0,32.880903244018555,31.8,586.265625,43.0,438.133615732193,30.0,266.44140625,176.0,8710.731313705444,4.4,439.89453125,91.0,8710.202131032944,3.3,3.17578125,403.0,1771083682.499961
2026-02-14 18:41:25,9.7,35.7,93740.69878835102,3060.7758468014613,34905.62747609871,328331.0584470535,9.0,1839.01171875,58.325,50.0,1815.0,99.2,39.046875,6.0,34.28240704536438,33.7,586.01953125,43.0,439.5262699127197,27.9,263.8828125,175.0,8712.132749080658,12.2,3.17578125,403.0,1771083683.9070275,6.7,61.35546875,34.0,9560.947449922562
2026-02-14 18:41:26,7.4,35.7,138029.1270093306,4658.653571432851,0.0,172421.88113456036,8.0,1838.625,58.2,50.0,1815.0,100.2,38.40625,6.0,35.70145773887634,35.7,586.70703125,43.0,440.9253497123718,25.4,263.09375,175.0,8713.54981637001,2.2,3.17578125,403.0,1771083685.303291,1.1,110.23828125,148.0,9562.351117134094
2026-02-14 18:41:27,7.4,35.7,138029.1270093306,4658.653571432851,0.0,172421.88113456036,8.0,1838.625,58.2,50.0,1815.0,100.2,38.40625,6.0,35.70145773887634,35.7,586.70703125,43.0,440.9253497123718,25.4,263.09375,175.0,8713.54981637001,2.2,3.17578125,403.0,1771083685.303291,1.1,110.23828125,148.0,9562.351117134094
2026-02-14 18:41:28,8.1,35.7,1366713.284984884,25146.13089936113,0.0,32418.47947409454,52.0,2196.40234375,103.609,57.0,1980.0,100.2,39.06640625,6.0,37.13663625717163,40.6,589.73828125,43.0,442.3488013744354,15.3,277.16796875,173.0,8714.983875751495,12.1,441.6953125,89.0,8714.413447856903,7.7,3.17578125,403.0,1771083686.720758
2026-02-14 18:41:29,8.5,35.8,1347252.785686208,26363.705421682247,71266.42472955472,1832972.4440441476,53.0,2195.57421875,188.935,59.0,1980.0,100.1,39.06640625,6.0,38.57351231575012,17.3,593.0625,43.0,443.7953894138336,6.5,441.76171875,89.0,8715.86450099945,4.3,21.953125,8.0,8711.442193031311,3.3,110.21484375,148.0,9565.206764936447
2026-02-14 18:41:30,7.1,35.8,1303587.531854768,25578.17073281535,356054.0337457236,1595122.0711808417,51.0,2195.82421875,191.574,61.0,1980.0,100.2,39.06640625,6.0,39.976194620132446,13.2,595.5703125,43.0,445.2159345149994,6.7,277.6953125,173.0,8717.824939966202,6.7,178.09765625,165.0,9533.426206350328,5.4,3.17578125,403.0,1771083689.5960062
2026-02-14 18:41:31,7.1,35.8,1303587.531854768,25578.17073281535,356054.0337457236,1595122.0711808417,51.0,2195.82421875,191.574,61.0,1980.0,100.2,39.06640625,6.0,39.976194620132446,13.2,595.5703125,43.0,445.2159345149994,6.7,277.6953125,173.0,8717.824939966202,6.7,178.09765625,165.0,9533.426206350328,5.4,3.17578125,403.0,1771083689.5960062
2026-02-14 18:41:32,6.4,35.8,1107557.648887945,19426.324691330483,49736.87689475766,1296450.2102346758,40.0,2197.38671875,148.569,58.0,1980.0,99.4,39.07421875,6.0,41.37543725967407,16.7,277.28125,173.0,8719.225217819214,12.2,597.625,43.0,446.62788677215576,6.7,30.7734375,13.0,9565.664064645767,5.6,3.17578125,403.0,1771083690.9974651
2026-02-14 18:41:33,9.0,35.8,198904.2154517729,8087.2749763007005,35137.07589809352,1439522.078200019,42.0,1983.01171875,148.241,58.0,1980.0,99.8,38.421875,6.0,42.7846269607544,29.2,598.59765625,43.0,448.0185759067536,11.1,272.578125,174.0,8720.634427785873,9.0,30.7734375,13.0,9567.058837652206,7.9,61.4140625,36.0,9569.43969154358
