ts,cpu,ram,net_in_bps,net_out_bps,disk_read_bps,disk_write_bps,gpu_util,gpu_mem_used_mb,gpu_power_w,gpu_temp_c,gpu_clock_mhz,p1_cpu,p1_rss_mb,p1_threads,p1_age_s,p2_cpu,p2_rss_mb,p2_threads,p2_age_s,p3_cpu,p3_rss_mb,p3_threads,p3_age_s,p4_cpu,p4_rss_mb,p4_threads,p4_age_s,p5_cpu,p5_rss_mb,p5_threads,p5_age_s
2026-02-13 18:45:35,4.9,29.8,53.83659640706964,97.88472074012662,0.0,15035.093105683449,0.0,1353.12109375,51.501,52.0,1815.0,99.5,39.5703125,3.0,3125.541793346405,5.0,59.1015625,33.0,8396.003727436066,2.5,30.3515625,13.0,8393.662338972092,1.3,4.71875,384.0,1770997533.580438,1.3,12.21484375,10.0,8395.975478887558
2026-02-13 18:45:36,4.8,29.8,370.5086760503984,0.0,0.0,4948.707186203583,0.0,1353.12109375,51.597,52.0,1815.0,97.9,39.56640625,3.0,3126.770311117172,1.3,115.9375,147.0,8397.280551195145,1.3,109.60546875,34.0,8363.513233661652,1.3,59.1015625,33.0,8397.227043628693,1.3,30.3515625,13.0,8394.874227046967
2026-02-13 18:45:37,4.7,29.8,0.0,44.6765410717403,13555.19349850728,63116.36972742452,0.0,1353.12109375,51.611,52.0,1815.0,98.6,39.56640625,3.0,3127.9900755882263,5.1,30.3515625,13.0,8396.095878601074,2.6,59.1015625,33.0,8398.447005033493,2.6,184.37109375,105.0,8370.669903755188,1.3,4.71875,384.0,1770997536.029724
2026-02-13 18:45:38,4.9,29.8,771.1833867909434,397.077403411507,0.0,8400.976468871553,0.0,1353.12109375,51.538,52.0,1815.0,98.1,39.56640625,3.0,3129.200159072876,2.6,110.1171875,34.0,8365.94240951538,2.6,59.17578125,33.0,8399.657468795776,1.3,4.71875,384.0,1770997537.249065,1.3,12.20703125,10.0,8399.62853884697
2026-02-13 18:45:39,4.6,29.8,240.54158605539035,0.0,0.0,36863.4071473186,0.0,1353.12109375,51.554,52.0,1815.0,97.9,39.56640625,3.0,3130.428863763809,6.4,30.3515625,14.0,8398.537692546844,5.1,59.17578125,33.0,8400.888088703156,2.5,23.35546875,5.0,8397.489373207092,2.5,128.90625,33.0,8352.767376422882
2026-02-13 18:45:40,5.4,29.8,8373.068557897683,1628.3895074342418,0.0,6643.310181723758,0.0,1353.12109375,51.554,52.0,1815.0,99.3,39.56640625,3.0,3131.6558463573456,2.6,59.17578125,33.0,8402.113020658493,2.6,30.38671875,14.0,8399.75965166092,2.5,4.71875,384.0,1770997539.704974,1.3,12.21484375,10.0,8402.087235689163
2026-02-13 18:45:41,5.4,29.8,8373.068557897683,1628.3895074342418,0.0,6643.310181723758,0.0,1353.12109375,51.554,52.0,1815.0,99.3,39.56640625,3.0,3131.6558463573456,2.6,59.17578125,33.0,8402.113020658493,2.6,30.38671875,14.0,8399.75965166092,2.5,4.71875,384.0,1770997539.704974,1.3,12.21484375,10.0,8402.087235689163
2026-02-13 18:45:42,4.6,29.8,1568.4564155210064,697.0917402315584,0.0,49243.61274390481,0.0,1353.12109375,51.623,52.0,1815.0,98.6,39.56640625,3.0,3132.8755729198456,1.3,12.2109375,10.0,8403.311412334442,1.3,30.38671875,14.0,8400.983448266983,1.3,97.7265625,32.0,8393.882557630539,1.3,169.109375,164.0,8381.046001195908
2026-02-13 18:45:43,4.7,29.8,2484.001344001033,740.9570369096381,0.0,8773.975837943204,0.0,1353.12109375,51.604,52.0,1815.0,100.4,39.5703125,3.0,3134.1047656536102,2.6,311.22265625,275.0,8399.125345230103,2.6,12.1015625,4.0,8391.012699127197,2.6,101.61328125,40.0,8378.01953291893,2.5,59.17578125,33.0,8404.565104484558
2026-02-13 18:45:44,6.1,29.8,1012.2334556369174,909.3081963367664,0.0,12033.340551879062,0.0,1353.12109375,53.567,52.0,1815.0,99.6,39.5703125,3.0,3135.3442101478577,3.8,20.23828125,6.0,8406.748790502548,3.8,59.76953125,33.0,8405.802283525467,3.7,30.390625,14.0,8403.475587368011,2.5,15.75390625,36.0,8401.794840335846
2026-02-13 18:45:45,4.6,29.8,425.80468017397,382.906447469876,0.0,36199.75310852139,2.0,1353.12109375,51.825,52.0,1815.0,98.4,38.96484375,3.0,3136.598645925522,2.6,30.38671875,14.0,8404.701107263565,1.3,12.21875,10.0,8407.028342962265,1.3,128.91015625,33.0,8358.925622224808,1.3,12.1015625,4.0,8393.506942749023
2026-02-13 18:45:46,4.6,29.8,425.80468017397,382.906447469876,0.0,36199.75310852139,2.0,1353.12109375,51.825,52.0,1815.0,98.4,38.96484375,3.0,3136.598645925522,2.6,30.38671875,14.0,8404.701107263565,1.3,12.21875,10.0,8407.028342962265,1.3,128.91015625,33.0,8358.925622224808,1.3,12.1015625,4.0,8393.506942749023
2026-02-13 18:45:47,5.2,29.8,813.6552085000793,482.0155231174296,0.0,7074.97995482986,0.0,1353.12109375,51.973,52.0,1815.0,100.8,38.96875,3.0,3137.8230986595154,6.4,30.38671875,14.0,8405.92590713501,2.5,12.1015625,4.0,8394.736050128937,1.3,59.08984375,33.0,8408.280815124512,1.3,240.8984375,72.0,8405.923376083374
2026-02-13 18:45:48,4.9,29.8,907.711097070431,397.22619437801865,0.0,9244.53688734298,1.0,1353.12109375,51.915,52.0,1815.0,99.8,39.57421875,3.0,3139.044838666916,9.0,30.3515625,13.0,8407.143686532974,2.6,109.734375,34.0,8375.785620689392,2.6,184.37109375,105.0,8381.735233068466,1.3,4.71875,384.0,1770997547.088148
2026-02-13 18:45:49,5.2,29.8,676.250566492803,196.35709219851267,0.0,67162.27312907799,1.0,1353.12109375,52.049,52.0,1815.0,98.0,39.57421875,3.0,3140.272974014282,5.1,59.08984375,33.0,8410.731682062149,3.7,30.38671875,14.0,8408.401217222214,1.3,115.9375,147.0,8410.773941516876,1.3,12.21484375,10.0,8410.706248760223
2026-02-13 18:45:50,4.6,29.8,367.02630446076495,43.085696610611535,0.0,8987.35715966534,1.0,1353.12109375,51.885,51.0,1815.0,100.1,39.57421875,3.0,3141.5220708847046,5.1,30.390625,14.0,8409.624289751053,1.3,59.08984375,33.0,8411.978944778442,1.3,97.7421875,32.0,8402.521773815155,1.3,25.60546875,12.0,8395.214131593704
2026-02-13 18:45:51,4.6,29.8,367.02630446076495,43.085696610611535,0.0,8987.35715966534,1.0,1353.12109375,51.885,51.0,1815.0,100.1,39.57421875,3.0,3141.5220708847046,5.1,30.390625,14.0,8409.624289751053,1.3,59.08984375,33.0,8411.978944778442,1.3,97.7421875,32.0,8402.521773815155,1.3,25.60546875,12.0,8395.214131593704
