ts,scenario,cpu,ram,net_in_bps,net_out_bps,disk_read_bps,disk_write_bps,gpu_util,gpu_mem_used_mb,gpu_power_w,gpu_temp_c,gpu_clock_mhz,p1_cpu,p1_rss_mb,p1_threads,p1_age_s,p2_cpu,p2_rss_mb,p2_threads,p2_age_s,p3_cpu,p3_rss_mb,p3_threads,p3_age_s,p4_cpu,p4_rss_mb,p4_threads,p4_age_s,p5_cpu,p5_rss_mb,p5_threads,p5_age_s
2026-02-13T23:10:53,gaming_1,13.6,44.1,23427.17092675129,9099.434321191873,13499.197022673638,76270.46317810606,60.0,3866.58984375,176.774,65.0,1980.0,201.3,4168.2890625,144,5031.724016666412,97.7,40.03125,3,887.4482672214508,11.3,4.8125,399,1771013452.1622093,6.3,25.41015625,13,24312.316076040268,6.2,20.84765625,6,7710.062156200409
2026-02-13T23:10:55,gaming_1,16.0,44.1,28687.95471043983,12722.213342023737,0.0,149675.5937329212,62.0,3866.58984375,178.598,65.0,1980.0,237.9,4168.14453125,144,5033.255026578903,100.3,40.03125,3,888.97554063797,8.3,4.8125,399,1771013453.6695292,8.1,20.84765625,6,7711.599464416504,6.1,204.890625,277,24310.821494102478
2026-02-13T23:10:56,gaming_1,18.6,44.1,22053.715934614676,9942.941014163103,0.0,71822.97404561241,58.0,3866.58984375,179.448,65.0,1980.0,301.5,4168.66796875,144,5034.835463047028,97.0,40.03125,3,890.5573291778564,9.1,4.8125,399,1771013455.2087996,7.1,41.203125,33,24317.67031645775,5.9,25.4453125,14,24315.41384124756
2026-02-13T23:10:58,gaming_1,18.8,44.1,21840.95662288996,9225.92133208283,0.0,88637.58744248979,60.0,3866.58984375,179.342,65.0,1980.0,308.3,4168.43359375,144,5036.41739320755,100.0,40.03125,3,892.1331408023834,8.9,4.8125,399,1771013456.7915113,6.9,41.203125,33,24319.25718832016,5.9,20.84765625,6,7714.765461206436
2026-02-13T23:10:59,gaming_1,20.1,44.1,22850.621026712084,8914.308833554669,0.0,22333.501345423683,64.0,3866.43359375,182.007,65.0,1980.0,297.7,4168.59765625,144,5038.006864786148,99.2,40.03125,3,893.7242889404297,14.8,4.8125,399,1771013458.374271,5.9,25.41015625,13,24318.57544708252,4.0,41.203125,33,24320.840492248535
2026-02-13T23:11:01,gaming_1,18.6,44.1,24003.442818740612,9235.935537894453,0.0,18127.926050281334,52.0,3866.43359375,181.451,66.0,1980.0,323.7,4170.71875,144,5039.5754134655,100.3,40.03125,3,895.2977077960968,9.9,4.8125,399,1771013459.9550073,5.0,20.84765625,6,7717.925837755203,3.9,41.203125,33,24322.42343235016
2026-02-13T23:11:03,gaming_1,20.7,44.2,29515.17050867131,9277.752432417416,0.0,36961.56262202851,47.0,3866.30859375,149.649,63.0,1980.0,340.1,4186.37109375,144,5041.15581202507,98.2,40.02734375,3,896.8735013008118,13.9,4.8125,399,1771013461.5339596,7.0,20.84765625,6,7719.4944767951965,5.0,7.35546875,15,24325.134318828583
2026-02-13T23:11:04,gaming_1,22.0,44.2,48173.744848358045,8810.753757596694,41796.71069546558,16979.91372003289,51.0,3866.46484375,158.36,63.0,1980.0,349.5,4186.3828125,144,5042.711849451065,98.4,40.02734375,3,898.4288568496704,13.0,4.8125,399,1771013463.1023867,5.0,25.44921875,13,24323.29910349846,5.0,20.84765625,6,7721.050541162491
2026-02-13T23:11:06,gaming_1,21.4,44.2,38240.42160369009,9144.853733868522,42110.53501284482,38162.67235539062,51.0,3866.46484375,164.304,63.0,1980.0,352.5,4187.08203125,144,5044.280909061432,100.4,40.02734375,3,900.000551700592,10.0,4.8125,399,1771013464.659498,5.9,20.84765625,6,7722.6323363780975,5.0,41.203125,33,24327.12508702278
2026-02-13T23:11:07,gaming_1,22.0,44.2,36302.80331028379,8990.981641859033,0.0,74451.72618981224,54.0,3866.46484375,167.74,64.0,1980.0,344.2,4187.40234375,144,5045.86066865921,99.0,40.02734375,3,901.5789740085602,7.9,91.4453125,147,24328.71242904663,6.9,4.8125,399,1771013466.239841,5.0,41.203125,33,24328.69873905182
